country,survey_year,hdi_category,indicator_name,reference,values
Mauritania,2000-01,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,16
Lesotho,2004,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,66
Congo,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,29
Bangladesh,2004,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,57
Nepal,2001,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,54
Madagascar,2003-04,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,32
Cameroon,2004,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,36
Haiti,2005-06,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,34
Kenya,2003,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,40
Zimbabwe,1999,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,64
Togo,1998,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,22
Yemen,1997,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,8
Uganda,2000-01,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,27
Senegal,2005,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,59
Eritrea,2002,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,74
Nigeria,2003,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,3
Tanzania (United Republic of),1999,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,53
Guinea,2005,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,29
Rwanda,2005,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Poor,,74
Benin,2001,,One-year-olds  immunized_Poor,,49
Malawi,2000,,One-year-olds  immunized_Poor,"d,h",65
Zambia,2001-02,,One-year-olds  immunized_Poor,,64
Côte d'Ivoire,2005,,One-year-olds  immunized_Poor,,..
Ethiopia,2005,,One-year-olds  immunized_Poor,,14
Chad,2004,,One-year-olds  immunized_Poor,,1
Central African Republic,1994-95,,One-year-olds  immunized_Poor,,18
Mozambique,2003,,One-year-olds  immunized_Poor,,45
Mali,2001,,One-year-olds  immunized_Poor,,20
Niger,2006,,One-year-olds  immunized_Poor,,20
Burkina Faso,2003,,One-year-olds  immunized_Poor,,34
Sierra Leone,2005,,One-year-olds  immunized_Poor,"d,h",..
Brazil,1996,HIGH HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,74
Kazakhstan,1999,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,62
Colombia,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,72
Thailand,2005-06,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,d,86
Dominican Republic,1996,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,47
Armenia,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,51
Turkey,1998,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,70
Jordan,1997,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,17
Peru,2004-05,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,73
Philippines,2003,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,83
Paraguay,1990,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,53
Viet Nam,2002,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,92
Indonesia,1997,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,72
Turkmenistan,2000,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,78
Nicaragua,2001,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,71
Moldova,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,86
Egypt,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,91
Uzbekistan,1996,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,78
Kyrgyzstan,1997,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,73
Bolivia,2003,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,57
Guatemala,1998-99,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,56
Gabon,2000,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,24
South Africa,1998,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,70
Tajikistan,2006,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,"d,h",..
Namibia,2000,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,68
Morocco,2003-04,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,97
India,1998-99,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,64
Cambodia,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,76
Comoros,1996,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,82
Ghana,2006,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,"d,h",86
Pakistan,1990,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,55
Mauritania,2000-01,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,45
Lesotho,2004,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,69
Congo,2005,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,73
Bangladesh,2004,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,87
Nepal,2001,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,82
Madagascar,2003-04,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,80
Cameroon,2004,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,60
Haiti,2005-06,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,56
Kenya,2003,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,65
Zimbabwe,1999,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,64
Togo,1998,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,52
Yemen,1997,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,56
Uganda,2000-01,MEDIUM HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,43
Senegal,2005,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,65
Eritrea,2002,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,91
Nigeria,2003,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,40
Tanzania (United Republic of),1999,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,78
Guinea,2005,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,45
Rwanda,2005,LOW HUMAN DEVELOPMENT,One-year-olds  immunized_Rich,,74
Benin,2001,,One-year-olds  immunized_Rich,,73
Malawi,2000,,One-year-olds  immunized_Rich,"d,h",81
Zambia,2001-02,,One-year-olds  immunized_Rich,,80
Côte d'Ivoire,2005,,One-year-olds  immunized_Rich,,..
Ethiopia,2005,,One-year-olds  immunized_Rich,,36
Chad,2004,,One-year-olds  immunized_Rich,,24
Central African Republic,1994-95,,One-year-olds  immunized_Rich,,64
Mozambique,2003,,One-year-olds  immunized_Rich,,90
Mali,2001,,One-year-olds  immunized_Rich,,56
Niger,2006,,One-year-olds  immunized_Rich,,48
Burkina Faso,2003,,One-year-olds  immunized_Rich,,61
Sierra Leone,2005,,One-year-olds  immunized_Rich,"d,h",..
Brazil,1996,HIGH HUMAN DEVELOPMENT,Child_underheight_ Poor,,23
Kazakhstan,1999,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,15
Colombia,2005,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,20
Thailand,2005-06,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,d,16
Dominican Republic,1996,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,14
Armenia,2005,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,15
Turkey,1998,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,29
Jordan,1997,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,14
Peru,2004-05,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,46
Philippines,2003,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,..
Paraguay,1990,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,23
Viet Nam,2002,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,..
Indonesia,1997,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,..
Turkmenistan,2000,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,25
Nicaragua,2001,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,35
Moldova,2005,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,14
Egypt,2005,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,24
Uzbekistan,1996,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,40
Kyrgyzstan,1997,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,34
Bolivia,2003,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,42
Guatemala,1998-99,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,65
Gabon,2000,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,33
South Africa,1998,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,..
Tajikistan,2006,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,"d,h",32
Namibia,2000,MEDIUM HUMAN DEVELOPMENT,Child_underheight_ Poor,,27
